word,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
bus,0.02,0.02,0.02,0.02,0.05,0.04,0.07,0.11,0.15000000000000002,0.22,0.29000000000000004,0.39,0.42,0.48,0.62,0.68,0.74,0.78,0.78,0.83,0.91,0.87,0.86
but,,,,,,,,,0.01,0.03,0.02,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.15,0.2,0.26,0.3,0.35
butter,0.01,0.01,0.0,0.02,0.01,0.01,0.03,0.03,0.03,0.05,0.09,0.13,0.19,0.22,0.29,0.38,0.43,0.51,0.54,0.6,0.77,0.64,0.69
butterfly,0.0,0.01,0.02,0.01,0.02,0.02,0.02,0.05,0.065,0.10500000000000001,0.15500000000000003,0.24,0.27,0.33,0.42,0.52,0.59,0.66,0.67,0.69,0.86,0.82,0.82
buttocks/bottom*,,,,,,,,,0.09,0.14,0.19,0.31,0.32,0.4,0.51,0.59,0.63,0.72,0.71,0.73,0.89,0.78,0.78
button,0.01,0.0,0.0,0.02,0.02,0.03,0.05,0.09,0.13,0.14500000000000002,0.195,0.3,0.34,0.37,0.42,0.53,0.55,0.63,0.65,0.64,0.84,0.73,0.77
buy,,,,,,,,,0.01,0.03,0.03,0.06,0.07,0.09,0.12,0.19,0.23,0.29,0.34,0.44,0.59,0.54,0.62
by,,,,,,,,,0.01,0.04,0.03,0.05,0.05,0.08,0.11,0.14,0.17,0.24,0.27,0.36,0.48,0.41,0.45
bye,0.06,0.13,0.22,0.22,0.3,0.41,0.42,0.6,0.69,0.6950000000000001,0.79,0.86,0.86,0.87,0.9,0.91,0.93,0.95,0.93,0.93,0.97,0.95,0.97
cake,0.01,0.02,0.02,0.03,0.02,0.03,0.05,0.07,0.07,0.095,0.15000000000000002,0.28,0.34,0.35,0.5,0.56,0.7,0.74,0.75,0.78,0.9,0.87,0.88
call (on phone),,,,,,,,,0.11,0.11,0.16,0.24,0.27,0.33,0.42,0.48,0.53,0.63,0.65,0.68,0.78,0.73,0.76
camera,,,,,,,,,0.02,0.03,0.05,0.11,0.14,0.19,0.25,0.3,0.35,0.48,0.48,0.53,0.71,0.58,0.69
camping,,,,,,,,,0.0,0.02,0.01,0.01,0.01,0.05,0.05,0.08,0.11,0.13,0.17,0.17,0.29,0.23,0.29
can (auxiliary),,,,,,,,,0.01,0.02,0.03,0.07,0.06,0.07,0.15,0.21,0.23,0.31,0.32,0.43,0.6,0.56,0.62
can (object),,,,,,,,,0.01,0.04,0.05,0.08,0.1,0.13,0.18,0.2,0.25,0.33,0.32,0.4,0.57,0.43,0.49
candy,0.02,0.02,0.01,0.01,0.02,0.02,0.04,0.07,0.05500000000000001,0.09,0.12,0.27,0.31,0.33,0.41,0.45,0.53,0.68,0.69,0.72,0.88,0.79,0.81
car,0.03,0.02,0.02,0.04,0.07,0.12,0.14,0.24,0.345,0.405,0.53,0.68,0.75,0.74,0.77,0.82,0.89,0.91,0.91,0.93,0.97,0.94,0.95
careful,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.03,0.02,0.03,0.055,0.12,0.13,0.17,0.22,0.29,0.33,0.44,0.44,0.5,0.7,0.61,0.67
carrots,0.01,0.01,0.0,0.01,0.01,0.01,0.03,0.06,0.055,0.1,0.12,0.21,0.24,0.3,0.36,0.46,0.52,0.62,0.61,0.65,0.82,0.74,0.79
carry,,,,,,,,,0.02,0.04,0.04,0.11,0.12,0.17,0.26,0.33,0.4,0.51,0.54,0.58,0.72,0.68,0.69
cat,0.05,0.03,0.03,0.09,0.11,0.16,0.19,0.35,0.38,0.41000000000000003,0.45999999999999996,0.61,0.65,0.66,0.75,0.79,0.82,0.87,0.88,0.92,0.94,0.93,0.92
catch,,,,,,,,,0.02,0.05,0.07,0.11,0.13,0.18,0.24,0.31,0.39,0.5,0.53,0.56,0.75,0.69,0.72
cereal,0.0,0.01,0.01,0.02,0.02,0.02,0.05,0.09,0.09,0.11499999999999999,0.165,0.34,0.32,0.39,0.47,0.5,0.6,0.68,0.69,0.71,0.88,0.79,0.82
chair,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.1,0.125,0.165,0.26,0.41,0.44,0.46,0.58,0.64,0.72,0.79,0.79,0.81,0.93,0.85,0.86
chalk,,,,,,,,,0.02,0.03,0.05,0.1,0.12,0.16,0.22,0.28,0.33,0.37,0.41,0.46,0.61,0.53,0.58
chase,,,,,,,,,0.02,0.03,0.04,0.09,0.08,0.1,0.15,0.21,0.29,0.33,0.34,0.38,0.57,0.48,0.55
cheek,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.1,0.15000000000000002,0.25,0.26,0.36,0.43,0.52,0.56,0.63,0.64,0.68,0.81,0.73,0.74
cheerios,0.01,0.01,0.01,0.03,0.03,0.04,0.07,0.12,0.125,0.16,0.22,0.28,0.28,0.33,0.4,0.47,0.49,0.57,0.56,0.57,0.75,0.68,0.76
cheese,0.01,0.01,0.01,0.03,0.06,0.1,0.1,0.21,0.31999999999999995,0.395,0.48,0.6,0.62,0.67,0.67,0.76,0.83,0.84,0.85,0.86,0.95,0.87,0.9
chicken (animal),0.01,0.0,0.01,0.01,0.02,0.04,0.04,0.07,0.08,0.135,0.15500000000000003,0.3,0.31,0.34,0.45,0.54,0.63,0.66,0.69,0.74,0.86,0.78,0.83
chicken (food),0.01,0.01,0.0,0.02,0.02,0.03,0.05,0.09,0.07500000000000001,0.11499999999999999,0.16,0.29,0.29,0.38,0.47,0.51,0.59,0.68,0.68,0.71,0.88,0.83,0.82
child,0.0,0.01,0.0,0.01,0.02,0.02,0.02,0.04,0.01,0.025,0.03,0.04,0.05,0.07,0.08,0.12,0.16,0.16,0.18,0.26,0.33,0.33,0.38
