word,8,9,10,11,12,13,14,15,16,17,18
good,0.09,0.14,0.24,0.25,0.23,0.32,0.33,0.49,0.63,0.5,0.53
goose,0.05,0.05,0.04,0.07,0.09,0.09,0.09,0.2,0.18,0.27,0.31
grandma*,0.38,0.44,0.52,0.57,0.62,0.65,0.67,0.69,0.78,0.86,0.85
grandpa*,0.29,0.33,0.39,0.46,0.5,0.56,0.56,0.56,0.67,0.76,0.74
grrr,0.18,0.18,0.32,0.28,0.33,0.38,0.45,0.56,0.7,0.65,0.76
hair,0.11,0.14,0.19,0.3,0.3,0.43,0.5,0.62,0.82,0.79,0.84
hammer,0.04,0.04,0.04,0.06,0.08,0.09,0.1,0.18,0.24,0.22,0.23
hand,0.16,0.19,0.2,0.31,0.29,0.36,0.41,0.54,0.73,0.71,0.79
happy,0.12,0.12,0.14,0.15,0.2,0.19,0.25,0.36,0.35,0.42,0.51
hard,0.03,0.03,0.04,0.05,0.05,0.04,0.06,0.13,0.14,0.13,0.13
hat,0.09,0.12,0.17,0.28,0.32,0.36,0.45,0.55,0.77,0.75,0.81
head,0.08,0.08,0.13,0.22,0.27,0.3,0.4,0.5,0.67,0.71,0.78
hello,0.22,0.25,0.35,0.45,0.51,0.55,0.59,0.61,0.76,0.75,0.84
help,0.04,0.05,0.05,0.1,0.12,0.14,0.22,0.38,0.43,0.5,0.61
her,0.04,0.04,0.05,0.06,0.07,0.08,0.1,0.15,0.13,0.17,0.19
hi,0.47,0.53,0.55,0.71,0.76,0.75,0.77,0.81,0.93,0.91,0.93
high chair,0.13,0.18,0.17,0.29,0.31,0.39,0.46,0.57,0.74,0.65,0.7
his,0.03,0.04,0.04,0.07,0.07,0.08,0.09,0.14,0.12,0.17,0.21
hit,0.03,0.07,0.12,0.1,0.13,0.19,0.26,0.4,0.55,0.46,0.52
home,0.1,0.16,0.21,0.26,0.29,0.38,0.36,0.46,0.6,0.62,0.69
horse,0.07,0.07,0.09,0.15,0.18,0.21,0.29,0.43,0.63,0.63,0.63
hot,0.07,0.1,0.16,0.18,0.2,0.35,0.41,0.55,0.78,0.64,0.78
house,0.05,0.1,0.09,0.11,0.14,0.19,0.21,0.4,0.47,0.44,0.51
how,0.03,0.05,0.04,0.05,0.05,0.06,0.07,0.11,0.09,0.14,0.15
hug,0.13,0.2,0.27,0.38,0.42,0.53,0.59,0.71,0.88,0.81,0.89
hungry,0.15,0.19,0.22,0.24,0.28,0.35,0.37,0.49,0.68,0.6,0.68
hurry,0.03,0.04,0.04,0.05,0.06,0.07,0.13,0.2,0.25,0.2,0.24
hurt,0.05,0.06,0.07,0.08,0.09,0.12,0.18,0.24,0.33,0.32,0.43
ice cream,0.09,0.1,0.13,0.12,0.11,0.2,0.24,0.35,0.43,0.37,0.44
in,0.04,0.08,0.07,0.2,0.22,0.27,0.33,0.44,0.59,0.57,0.62
inside,0.04,0.06,0.07,0.16,0.14,0.2,0.25,0.34,0.45,0.48,0.56
it,0.05,0.05,0.05,0.07,0.08,0.11,0.11,0.2,0.23,0.21,0.22
jacket,0.06,0.09,0.1,0.13,0.17,0.18,0.24,0.36,0.45,0.57,0.67
jeans,0.06,0.04,0.04,0.05,0.07,0.07,0.09,0.12,0.13,0.18,0.22
juice,0.11,0.22,0.29,0.23,0.26,0.39,0.43,0.55,0.81,0.51,0.49
jump,0.06,0.07,0.07,0.1,0.1,0.13,0.2,0.31,0.41,0.49,0.56
keys,0.09,0.17,0.26,0.31,0.32,0.43,0.49,0.62,0.83,0.69,0.74
kick,0.05,0.07,0.05,0.09,0.12,0.13,0.2,0.34,0.45,0.46,0.51
kiss,0.22,0.29,0.45,0.55,0.56,0.61,0.66,0.79,0.94,0.86,0.91
kitchen,0.06,0.11,0.15,0.18,0.2,0.25,0.4,0.47,0.64,0.59,0.67
kitty,0.18,0.31,0.3,0.36,0.41,0.49,0.53,0.66,0.82,0.7,0.73
knee,0.05,0.06,0.07,0.08,0.09,0.11,0.15,0.22,0.32,0.41,0.5
lady,0.02,0.03,0.05,0.05,0.05,0.08,0.07,0.17,0.18,0.11,0.16
lamb,0.05,0.08,0.09,0.08,0.11,0.13,0.18,0.27,0.32,0.31,0.39
lamp,0.05,0.06,0.05,0.05,0.08,0.07,0.13,0.21,0.24,0.23,0.26
later,0.03,0.04,0.06,0.06,0.06,0.07,0.08,0.13,0.16,0.21,0.3
leg,0.06,0.07,0.1,0.14,0.13,0.2,0.22,0.34,0.48,0.55,0.6
light,0.06,0.11,0.13,0.2,0.23,0.31,0.35,0.45,0.65,0.6,0.67
lion,0.06,0.07,0.1,0.13,0.14,0.17,0.22,0.33,0.44,0.49,0.56
little (description),0.03,0.05,0.03,0.07,0.06,0.08,0.11,0.2,0.21,0.18,0.26
living room,0.06,0.1,0.07,0.1,0.09,0.12,0.21,0.3,0.34,0.34,0.43
look,0.13,0.19,0.26,0.36,0.35,0.45,0.52,0.63,0.78,0.71,0.75
love,0.1,0.12,0.18,0.17,0.15,0.23,0.29,0.43,0.54,0.47,0.49
lunch,0.1,0.18,0.18,0.26,0.28,0.35,0.36,0.51,0.65,0.68,0.72
man,0.03,0.05,0.04,0.06,0.07,0.07,0.07,0.2,0.21,0.13,0.2
me,0.07,0.06,0.12,0.13,0.14,0.17,0.23,0.34,0.4,0.38,0.46
meat,0.05,0.06,0.08,0.07,0.09,0.1,0.19,0.22,0.22,0.24,0.27
medicine,0.07,0.1,0.12,0.11,0.12,0.17,0.21,0.26,0.42,0.36,0.38
meow,0.22,0.27,0.31,0.39,0.41,0.47,0.53,0.65,0.8,0.77,0.83
milk,0.31,0.32,0.36,0.52,0.61,0.69,0.7,0.76,0.85,0.83,0.87
mine,0.11,0.09,0.13,0.18,0.16,0.18,0.25,0.35,0.45,0.46,0.52
mommy*,0.77,0.87,0.88,0.9,0.92,0.93,0.91,0.91,0.99,0.98,0.97
money,0.06,0.06,0.06,0.05,0.07,0.09,0.11,0.21,0.24,0.17,0.23
monkey,0.1,0.1,0.14,0.16,0.19,0.22,0.27,0.42,0.49,0.57,0.63
moo,0.16,0.16,0.22,0.29,0.32,0.39,0.43,0.53,0.74,0.75,0.81
moon,0.04,0.07,0.06,0.1,0.14,0.13,0.17,0.23,0.45,0.41,0.48
more,0.16,0.26,0.25,0.44,0.45,0.47,0.48,0.61,0.78,0.75,0.85
morning,0.06,0.07,0.09,0.12,0.1,0.09,0.09,0.16,0.17,0.2,0.26
motorcycle,0.06,0.07,0.07,0.08,0.09,0.1,0.13,0.21,0.21,0.31,0.39
mouse,0.06,0.06,0.07,0.08,0.11,0.13,0.17,0.28,0.33,0.41,0.5
mouth,0.14,0.17,0.28,0.31,0.34,0.47,0.52,0.62,0.83,0.77,0.85
my,0.05,0.05,0.07,0.08,0.09,0.12,0.13,0.22,0.26,0.23,0.35
nap,0.18,0.24,0.29,0.42,0.47,0.53,0.55,0.66,0.79,0.77,0.85
naughty,0.04,0.04,0.07,0.08,0.06,0.09,0.09,0.17,0.13,0.13,0.16
necklace,0.05,0.05,0.05,0.08,0.09,0.11,0.12,0.23,0.28,0.25,0.3
nice,0.04,0.07,0.1,0.12,0.11,0.16,0.21,0.37,0.38,0.31,0.34
night,0.09,0.12,0.13,0.12,0.12,0.14,0.17,0.24,0.32,0.28,0.37
night night,0.26,0.41,0.46,0.52,0.59,0.67,0.67,0.76,0.9,0.82,0.84
no,0.37,0.59,0.7,0.75,0.77,0.84,0.83,0.88,0.98,0.93,0.93
none,0.04,0.06,0.07,0.09,0.08,0.08,0.11,0.16,0.19,0.22,0.25
noodles,0.05,0.05,0.07,0.1,0.12,0.14,0.22,0.28,0.38,0.42,0.49
nose,0.14,0.19,0.24,0.42,0.4,0.53,0.62,0.75,0.9,0.84,0.9
not,0.04,0.03,0.04,0.05,0.06,0.08,0.08,0.15,0.19,0.17,0.23
now,0.06,0.07,0.07,0.06,0.09,0.09,0.12,0.21,0.22,0.24,0.33
off,0.07,0.11,0.14,0.18,0.24,0.29,0.33,0.46,0.63,0.57,0.7
old,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.07,0.04,0.05,0.07
on,0.06,0.09,0.09,0.16,0.23,0.28,0.3,0.45,0.6,0.56,0.69
open,0.04,0.05,0.11,0.2,0.25,0.3,0.39,0.56,0.73,0.64,0.77
orange (food),0.05,0.05,0.07,0.13,0.13,0.14,0.23,0.37,0.38,0.5,0.52
other,0.02,0.03,0.04,0.04,0.05,0.05,0.05,0.13,0.14,0.14,0.15
ouch,0.24,0.22,0.3,0.35,0.42,0.47,0.5,0.6,0.71,0.71,0.77
out,0.07,0.1,0.1,0.19,0.19,0.28,0.3,0.4,0.58,0.55,0.63
outside,0.17,0.24,0.28,0.4,0.46,0.59,0.65,0.74,0.89,0.79,0.81
oven,0.03,0.05,0.05,0.07,0.09,0.12,0.16,0.24,0.31,0.29,0.4
owie/boo boo,0.09,0.16,0.15,0.16,0.18,0.26,0.29,0.33,0.56,0.55,0.61
owl,0.08,0.05,0.06,0.09,0.15,0.14,0.17,0.23,0.32,0.4,0.51
pajamas,0.1,0.12,0.16,0.23,0.26,0.3,0.41,0.5,0.64,0.65,0.71
pants,0.07,0.1,0.13,0.19,0.23,0.29,0.34,0.47,0.56,0.7,0.75
paper,0.05,0.09,0.12,0.09,0.12,0.15,0.16,0.29,0.47,0.38,0.47
park,0.04,0.09,0.09,0.12,0.18,0.19,0.23,0.3,0.42,0.5,0.63
party,0.03,0.04,0.04,0.04,0.07,0.05,0.06,0.15,0.09,0.1,0.13
pattycake,0.14,0.3,0.41,0.34,0.35,0.48,0.44,0.57,0.71,0.42,0.48
peas,0.06,0.07,0.09,0.13,0.14,0.17,0.19,0.34,0.42,0.4,0.47
peekaboo,0.42,0.56,0.65,0.7,0.73,0.77,0.77,0.83,0.95,0.87,0.9
pen,0.05,0.07,0.07,0.11,0.11,0.17,0.2,0.36,0.44,0.39,0.53
penguin,0.05,0.05,0.06,0.07,0.11,0.1,0.11,0.17,0.16,0.29,0.35
penny,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.17,0.13,0.08,0.08
people,0.05,0.07,0.06,0.09,0.08,0.11,0.09,0.2,0.22,0.2,0.27
person,0.05,0.04,0.06,0.06,0.07,0.08,0.06,0.12,0.1,0.14,0.18
picture,0.06,0.07,0.11,0.12,0.13,0.16,0.2,0.34,0.45,0.42,0.47
pig,0.07,0.1,0.13,0.16,0.19,0.23,0.27,0.44,0.63,0.62,0.68
pillow,0.07,0.1,0.11,0.11,0.14,0.22,0.28,0.37,0.51,0.5,0.55
pizza,0.05,0.05,0.06,0.09,0.11,0.16,0.22,0.28,0.39,0.43,0.5
plant,0.04,0.06,0.07,0.1,0.13,0.15,0.18,0.27,0.35,0.28,0.32
plate,0.04,0.05,0.05,0.08,0.11,0.16,0.21,0.34,0.42,0.41,0.52
play,0.1,0.16,0.17,0.23,0.25,0.33,0.37,0.47,0.59,0.61,0.64
play pen,0.07,0.12,0.11,0.13,0.12,0.15,0.15,0.21,0.18,0.15,0.14
please,0.06,0.1,0.09,0.17,0.19,0.27,0.31,0.45,0.59,0.62,0.7
pony,0.05,0.06,0.07,0.08,0.1,0.11,0.11,0.2,0.2,0.22,0.26
pool,0.07,0.12,0.07,0.13,0.18,0.16,0.22,0.31,0.36,0.35,0.36
potty,0.05,0.07,0.08,0.12,0.13,0.2,0.22,0.27,0.43,0.45,0.58
pretty,0.04,0.08,0.11,0.08,0.11,0.15,0.17,0.27,0.35,0.22,0.3
pull,0.03,0.05,0.04,0.09,0.11,0.14,0.18,0.27,0.36,0.37,0.44
puppy,0.17,0.17,0.24,0.29,0.36,0.42,0.44,0.54,0.61,0.67,0.72
purse,0.05,0.06,0.05,0.08,0.11,0.14,0.22,0.3,0.43,0.28,0.38
push,0.03,0.05,0.06,0.13,0.17,0.21,0.23,0.37,0.5,0.48,0.54
put,0.04,0.05,0.05,0.09,0.15,0.16,0.27,0.39,0.53,0.46,0.52
quack quack,0.14,0.16,0.2,0.29,0.29,0.39,0.4,0.58,0.75,0.69,0.75
radio,0.04,0.05,0.07,0.07,0.08,0.1,0.14,0.25,0.25,0.19,0.2
rain,0.06,0.06,0.06,0.1,0.1,0.15,0.2,0.28,0.32,0.4,0.48
raisin,0.04,0.04,0.04,0.04,0.09,0.11,0.16,0.27,0.34,0.32,0.34
read,0.06,0.08,0.11,0.24,0.24,0.32,0.39,0.48,0.71,0.69,0.74
red,0.02,0.04,0.04,0.05,0.05,0.06,0.06,0.11,0.13,0.16,0.25
refrigerator,0.05,0.09,0.1,0.11,0.14,0.22,0.33,0.42,0.57,0.53,0.6
ride,0.04,0.04,0.07,0.11,0.12,0.18,0.24,0.37,0.53,0.45,0.46
rock,0.03,0.04,0.06,0.07,0.1,0.14,0.17,0.36,0.42,0.41,0.49
rocking chair,0.05,0.07,0.04,0.07,0.09,0.09,0.17,0.23,0.39,0.27,0.25
run,0.04,0.05,0.04,0.06,0.07,0.14,0.19,0.32,0.45,0.49,0.58
same,0.02,0.03,0.04,0.05,0.06,0.04,0.05,0.09,0.07,0.13,0.15
say,0.05,0.06,0.08,0.12,0.12,0.2,0.24,0.36,0.48,0.44,0.52
